,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,2742,977,1381,4511,2194,4432
Benton,14801,10884,24133,32844,10567,18437
Clackamas,83864,31423,49313,156168,68512,114681
Clatsop,6450,2465,4395,11438,5497,10902
Columbia,11186,3921,6664,22652,10336,16647
Coos,9678,3286,5769,17030,9434,19454
Crook,5181,1774,3154,8771,3363,6253
Curry,2274,825,1557,6052,4225,10252
Deschutes,37826,13165,24272,74983,35285,77429
Douglas,19937,7109,12593,38660,20455,40923
Gilliam,480,162,230,731,307,760
Grant,639,243,454,1431,799,2272
Harney,1086,349,545,2065,1189,1627
"Hood River",5703,1908,3592,10960,4733,9171
Jackson,44048,15851,30193,85542,40192,80562
Jefferson,6586,1833,3121,7553,4056,8443
Josephine,16416,5713,10074,30742,17618,35652
Klamath,12737,4246,7893,21675,10463,17097
Lake,1482,475,725,2290,1080,1830
Lane,69333,31450,69573,148762,50685,95036
Lincoln,7427,2403,4343,13990,8679,19404
Linn,28990,10161,19168,52170,21108,36593
Malheur,7036,2188,3753,9232,4184,8442
Marion,98310,32294,63501,149029,58059,97431
Morrow,3159,982,1696,4679,2152,3426
Multnomah,182775,62027,183861,407818,137567,215758
Polk,22569,8455,17325,43148,17639,26742
Sherman,277,110,200,548,244,404
Tillamook,4663,1532,2692,8073,4629,9738
Umatilla,23793,7732,14823,34818,13160,19728
Union,8293,2384,4837,10321,3723,6415
Wallowa,908,339,536,1791,863,2040
Wasco,6013,2088,3475,9549,4325,8824
Washington,136874,42867,91020,243099,76565,123824
Wheeler,156,60,105,367,164,398
Yamhill,26807,9718,19969,53788,22769,34248
