,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,2649,888,1376,4510,2570,4323
Benton,11486,8966,20607,25012,9957,15350
Clackamas,74564,28038,44075,134881,56438,68389
Clatsop,6121,2189,4292,10975,5757,9127
Columbia,9341,3079,6145,16854,8142,10959
Coos,9548,3119,6347,17144,10167,17772
Crook,3746,1233,2446,5942,3154,5411
Curry,2393,830,1834,5250,4134,8645
Deschutes,29716,10075,20138,57344,27241,37940
Douglas,18145,6018,12269,31926,17202,30552
Gilliam,304,101,180,522,347,609
Grant,936,322,773,1743,1251,2294
Harney,1290,395,711,2243,1133,1632
"Hood River",4565,1535,3333,8271,3580,4344
Jackson,37300,12188,26109,65123,30809,51929
Jefferson,4962,1242,2585,6649,3666,4952
Josephine,13883,4438,9416,23860,14209,24969
Klamath,12503,3770,8176,20134,9194,15076
Lake,1329,353,699,2374,1169,2011
Lane,55796,25712,58966,114321,46037,77502
Lincoln,6753,1997,4209,13031,8634,14912
Linn,23928,7912,16426,38307,16765,25117
Malheur,6750,2005,3854,10373,3960,5783
Marion,73416,23079,50874,109558,41093,57170
Morrow,2587,746,1622,3650,1669,2033
Multnomah,141780,48326,143409,307373,99055,111504
Polk,16574,5506,13472,26380,9989,16159
Sherman,237,100,193,422,347,417
Tillamook,3941,1290,2518,7147,4447,7419
Umatilla,17473,5426,11746,25753,9863,13098
Union,5591,1692,4011,7709,3153,6060
Wallowa,1033,350,555,1702,1252,2166
Wasco,5081,1584,3028,7686,3836,6175
Washington,118877,37383,79465,205070,61693,71864
Wheeler,169,62,139,286,220,502
Yamhill,20753,7108,16657,36058,14087,18947
