Year,AutoPropDiesel,AutoPropCng,LtTrkPropDiesel,LtTrkPropCng,GasPropEth,DieselPropBio
1990,0,0,0.04,0,0,0
1995,0,0,0.04,0,0,0
2000,0,0,0.04,0,0,0
2005,0,0,0.04,0,0.1,0.01
2010,0,0,0.04,0,0.1,0.05
2015,0,0,0.04,0,0.1,0.05
2020,0,0.05,0.04,0.05,0.1,0.05
2025,0,0.1,0.03,0.1,0.1,0.05
2030,0,0.2,0.02,0.2,0.1,0.05
2035,0,0.4,0.01,0.4,0.1,0.05
2040,0,0.6,0,0.6,0.1,0.05
2045,0,0.8,0,0.8,0.1,0.05
2050,0,1,0,1,0.1,0.05
