County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,3494,914,1517,5007,1624,2865
Benton,13633,7087,15708,23245,4521,6837
Clackamas,63951,19236,34093,108875,22502,32216
Clatsop,7356,2228,4075,11347,2983,5437
Columbia,9273,2697,4209,13807,3113,4759
Coos,12923,3784,6709,20205,6359,10423
Crook,3298,997,1657,4665,1369,2252
Curry,3498,913,1695,5993,2649,4705
Deschutes,16916,4833,8798,28184,6846,10457
Douglas,21701,6680,10760,31714,9569,14664
Gilliam,412,90,140,555,195,330
Grant,1823,522,799,2782,798,1142
Harney,1690,463,748,2484,698,979
"Hood River",4002,1122,2154,5916,1401,2358
Jackson,31590,9902,17736,50626,13668,23778
Jefferson,3781,931,1940,4243,1190,1731
Josephine,12997,3803,6152,20542,6628,12856
Klamath,13129,4297,7570,19190,5520,8242
Lake,1736,444,709,2499,760,1029
Lane,59992,20506,44430,99731,22192,37242
Lincoln,7905,2025,3766,13153,4429,7802
Linn,21018,6380,11932,30937,7923,13547
Malheur,6760,2129,2995,7678,2489,4037
Marion,52287,15897,33341,77392,17966,32851
Morrow,1977,563,843,2595,731,904
Multnomah,118748,35077,94620,214612,43893,79050
Polk,11405,3851,6850,16192,4118,7515
Sherman,448,116,155,634,239,327
Tillamook,4401,1188,2025,6811,2705,4515
Umatilla,14128,4376,8312,19396,4914,8236
Union,5575,1907,3069,7844,1956,3325
Wallowa,1605,404,636,2332,736,1231
Wasco,5018,1426,2243,7286,2002,3802
Washington,73475,20115,48084,120268,21046,31940
Wheeler,257,84,116,461,193,289
Yamhill,16224,5052,8938,22119,4998,8642
