,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,2651,836,1449,4662,2747,3892
Benton,11571,8724,20058,24042,11120,12463
Clackamas,72924,27114,41829,131076,51304,57043
Clatsop,6118,2203,4442,11139,6327,7375
Columbia,9100,3323,5621,16386,8032,8858
Coos,9561,3152,6705,17600,10860,15421
Crook,3658,1302,2149,6012,3225,4776
Curry,2483,900,1784,5448,4376,7330
Deschutes,28982,9813,17987,54967,25555,29587
Douglas,17583,6212,12090,30929,17877,25869
Gilliam,292,97,159,557,363,490
Grant,1001,421,672,1956,1359,2002
Harney,1309,396,783,2231,1202,1504
"Hood River",4506,1592,2800,8069,3351,3357
Jackson,35889,12440,25225,62422,31382,42655
Jefferson,4584,1345,2613,6736,3200,4146
Josephine,13149,4838,8805,23293,13929,21300
Klamath,12180,3936,8593,19680,9858,13044
Lake,1239,362,795,2377,1332,1814
Lane,55108,24931,56837,110102,50415,64081
Lincoln,6576,2003,4334,13210,9258,12208
Linn,23188,7964,15076,37087,16917,20908
Malheur,6601,2092,3958,10359,3920,5102
Marion,69635,23105,47290,103956,40073,47583
Morrow,2487,882,1414,3555,1658,1672
Multnomah,135019,45459,132250,289531,87673,90520
Polk,15334,5444,12111,23857,10352,13104
Sherman,255,106,173,482,311,409
Tillamook,3908,1234,2463,7196,4722,6208
Umatilla,16701,5367,10909,24948,9866,11095
Union,5174,1604,4009,7385,3672,5121
Wallowa,1087,326,592,1809,1426,1830
Wasco,4898,1554,2905,7514,3950,5216
Washington,115437,35871,74754,197285,55689,59489
Wheeler,179,77,101,350,257,441
Yamhill,19764,7239,15234,33301,13534,15455
