,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,2757,892,1340,4845,1807,4730
Benton,13589,9804,21739,30225,8271,18220
Clackamas,78236,29277,46118,144654,62965,99960
Clatsop,6609,2197,4061,12016,4614,11025
Columbia,10886,3299,5671,21473,7218,15581
Coos,9776,3142,5519,18736,7505,20494
Crook,4647,1339,2515,7555,2632,6286
Curry,2446,767,1528,6399,3005,10604
Deschutes,35951,10605,20888,69271,30824,60964
Douglas,19907,6538,11433,39066,14877,38729
Gilliam,382,115,193,635,249,803
Grant,882,259,496,1800,790,2557
Harney,1190,382,560,2471,897,1675
"Hood River",5775,1560,2895,10738,3708,7232
Jackson,42722,13734,26834,81647,29619,71070
Jefferson,5848,1608,2560,7241,3269,7714
Josephine,16102,5155,8629,30216,12692,33036
Klamath,12940,4051,7393,22816,7836,17205
Lake,1420,444,673,2457,813,2088
Lane,63824,28313,62880,135779,41418,91901
Lincoln,7127,2197,4096,14487,7147,18842
Linn,27850,8560,16598,48564,15970,32855
Malheur,7205,2100,3316,10333,4072,7261
Marion,90132,26688,51026,137946,44061,80797
Morrow,3014,844,1402,4508,1759,2845
Multnomah,161640,54772,162984,358479,119829,177893
Polk,20994,6742,14182,38998,10634,21798
Sherman,284,84,171,530,204,473
Tillamook,4457,1342,2377,8117,3917,9276
Umatilla,21533,6177,11877,32140,9995,17096
Union,6506,2078,4075,9897,2444,6550
Wallowa,993,308,601,1877,703,2384
Wasco,5750,1749,3196,9233,3391,8040
Washington,127091,39747,84722,224301,70029,107301
Wheeler,169,51,111,358,154,467
Yamhill,26078,8115,15745,50327,14677,28173
