,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,2805,920,1298,4730,2078,4493
Benton,14207,10157,22463,31301,9124,17795
Clackamas,78994,29598,46449,147100,64533,108022
Clatsop,6682,2323,3972,11985,4968,10821
Columbia,11135,3635,5553,22817,7658,15883
Coos,9801,3223,5446,18529,8222,19711
Crook,4930,1521,2513,8211,2724,6220
Curry,2434,817,1392,6560,3326,10384
Deschutes,37530,11650,20697,72031,32394,66923
Douglas,20082,6885,11433,40151,16448,38785
Gilliam,425,128,192,686,276,766
Grant,813,273,434,1724,765,2480
Harney,1151,373,564,2388,997,1592
"Hood River",5901,1752,2948,11063,4008,7857
Jackson,43793,14783,26403,85335,32959,73278
Jefferson,6087,1711,2799,7405,3278,8135
Josephine,16311,5536,8881,31370,13775,33652
Klamath,12947,4189,7349,23162,8186,17003
Lake,1443,462,671,2461,848,1977
Lane,66541,29350,64894,141056,44672,90830
Lincoln,7302,2262,4103,14378,8098,18544
Linn,28606,9377,16186,51403,17056,33877
Malheur,7152,2190,3463,9767,4447,7510
Marion,93596,29387,53349,144095,47261,85868
Morrow,3079,920,1432,4648,1816,3070
Multnomah,167526,56852,168521,373793,126090,197757
Polk,21899,7629,14047,42208,12732,22528
Sherman,292,96,154,553,213,451
Tillamook,4588,1421,2450,8174,4105,9391
Umatilla,22518,6881,12094,33652,10883,17781
Union,6744,2225,4275,10184,2914,6231
Wallowa,1006,311,519,1891,868,2150
Wasco,5965,1882,3024,9554,3841,8139
Washington,128926,40378,85735,228983,72119,116634
Wheeler,170,57,91,370,165,433
Yamhill,26606,9116,16266,53508,16260,29808
