,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,2596,960,1541,4938,2656,3493
Benton,12198,8668,19134,24766,10645,10324
Clackamas,72391,26014,40589,131707,54060,51231
Clatsop,6231,2371,4594,11648,6156,6068
Columbia,9521,3371,5044,17056,7377,7060
Coos,9720,3836,6628,19076,10395,13381
Crook,3853,1259,1979,6570,3264,4095
Curry,2788,1103,1787,6062,4268,6349
Deschutes,29634,9595,18292,54385,22588,23411
Douglas,17907,6820,11413,32467,16955,22128
Gilliam,278,109,141,617,321,406
Grant,1170,432,638,2201,1312,1707
Harney,1302,526,737,2339,1171,1371
"Hood River",4748,1540,2574,7958,2748,2818
Jackson,36517,13268,24863,63287,30043,35364
Jefferson,4511,1538,2511,6924,2870,3396
Josephine,13598,5170,8137,24298,13315,18257
Klamath,12269,4576,8066,20507,9838,11248
Lake,1158,480,741,2600,1324,1586
Lane,57657,24794,54170,112626,49961,52804
Lincoln,6500,2394,4476,13968,8747,10049
Linn,23581,7881,14153,37518,15900,17807
Malheur,6603,2252,4178,10074,3613,4624
Marion,68963,23550,43904,102273,36728,40482
Morrow,2620,894,1283,3575,1423,1379
Multnomah,127425,41436,123046,278237,87767,77423
Polk,15120,5951,10729,22989,9882,10825
Sherman,287,95,169,556,271,386
Tillamook,3935,1478,2450,7641,4380,5374
Umatilla,16586,5622,10238,24586,9204,9763
Union,4812,1910,3567,7502,3720,4300
Wallowa,1096,318,656,2010,1332,1594
Wasco,4850,1676,2898,7684,3745,4383
Washington,113830,34173,72678,197654,58266,53109
Wheeler,212,76,94,366,250,442
Yamhill,20258,7758,13350,32994,11982,13064
