,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,2797,954,1333,4630,2244,4309
Benton,14602,10531,23303,32107,9861,17893
Clackamas,81393,30497,47860,151566,66493,111302
Clatsop,6597,2436,4168,11658,5402,10674
Columbia,11171,3871,6150,22989,8690,16183
Coos,9751,3290,5637,17906,8856,19254
Crook,5079,1689,2818,8545,2885,6253
Curry,2364,842,1500,6467,3863,9982
Deschutes,37965,12676,22308,74022,33542,72043
Douglas,20041,7095,12102,39682,18295,39500
Gilliam,457,147,205,733,262,764
Grant,720,269,448,1632,741,2349
Harney,1120,360,559,2246,1095,1580
"Hood River",5820,1894,3288,11260,4133,8493
Jackson,44084,15582,28444,85724,36867,75951
Jefferson,6349,1777,2988,7495,3663,8264
Josephine,16361,5724,9605,31525,15330,34362
Klamath,12872,4256,7695,22425,9391,16806
Lake,1468,469,706,2360,1002,1853
Lane,68390,30433,67260,145109,47346,92325
Lincoln,7409,2340,4211,14355,8479,18626
Linn,28845,9975,17784,52085,18784,34888
Malheur,7086,2213,3647,9486,4334,7943
Marion,95972,31372,58712,147299,51411,91291
Morrow,3117,970,1583,4771,1870,3217
Multnomah,175201,59457,176242,390919,131867,206818
Polk,22293,8213,15822,43372,14607,24189
Sherman,287,108,177,552,225,419
Tillamook,4647,1493,2559,8254,4324,9439
Umatilla,23166,7453,13496,34482,11739,18526
Union,7500,2314,4615,10348,3270,6162
Wallowa,973,327,518,1828,923,2036
Wasco,6036,2018,3238,9627,4100,8331
Washington,132841,41604,88338,235936,74308,120175
Wheeler,162,60,97,394,144,409
Yamhill,26644,9675,18396,54193,18778,31826
