County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Baker,2759,1280,1609,5353,2240,3259
Benton,12594,6411,20465,26747,8108,8510
Clackamas,71475,26533,43865,133728,44866,40833
Clatsop,6285,2565,4864,12443,4788,5696
Columbia,9129,3760,5241,16754,5855,5482
Coos,9910,4251,6902,20454,8944,12233
Crook,4448,1706,2790,7372,2958,3501
Curry,2817,1302,1718,6097,3311,5945
Deschutes,27111,10132,17079,51631,18066,19470
Douglas,18017,7497,11848,33075,13619,18850
Gilliam,305,143,177,655,240,370
Grant,1339,565,771,2527,1087,1397
Harney,1412,603,768,2676,966,1235
"Hood River",4691,1557,2537,7685,2079,2631
Jackson,35840,13864,24645,64734,24661,30771
Jefferson,4730,1670,2394,6723,2316,2767
Josephine,13466,5620,7987,25126,11421,16025
Klamath,12919,4834,8117,21421,7991,9773
Lake,1264,565,720,2520,1036,1400
Lane,57795,23314,54889,116147,39146,44793
Lincoln,6812,2858,4603,14505,6702,8924
Linn,21872,7787,13277,36145,12594,15474
Malheur,6951,2309,4514,10652,3100,4274
Marion,67358,21924,43755,103320,30121,35657
Morrow,2915,924,1572,3994,1221,1319
Multnomah,129869,41133,99664,277854,71658,72648
Polk,12629,4961,10665,20754,7273,9388
Sherman,298,184,187,596,246,369
Tillamook,4045,1641,2721,8012,3651,5135
Umatilla,16094,5250,9956,24976,7350,8769
Union,4636,1867,4147,7629,2946,3724
Wallowa,1078,591,641,2305,1066,1449
Wasco,4678,1701,2700,7837,3079,3939
Washington,110226,32050,67486,191528,45485,43011
Wheeler,201,116,128,448,246,411
Yamhill,18606,6801,14248,31594,8981,10081
